journal_no,journal_accreditation,journal_url
2440,Expose: Jurnal Ilmu Komunikasi,http://e-journal.president.ac.id/presunivojs/index.php/EXPOSE
2441,International Journal of Applied Business and International Management ,http://ejournal.aibpm.org/index.php/IJABIM
2442,Progresif: Jurnal Ilmiah Komputer,http://ojs.stmik-banjarbaru.ac.id/index.php/progresif
2443,Sriwijaya Journal of Environment,http://ojs.pps.unsri.ac.id/index.php/ppsunsri/issue/archive
2444,SCHOOL EDUCATION JOURNAL PGSD FIP UNIMED,http://jurnal.unimed.ac.id/2012/index.php/school/
2445,Life Science,https://journal.unnes.ac.id/sju/index.php/UnnesJLifeSci
2446,Jurnal Budidaya Pertanian,https://ojs3.unpatti.ac.id/index.php/bdp/
2447,JPM (Jurnal Pemberdayaan Masyarakat),http://ejournal.unikama.ac.id/index.php/jpm/issue/archive
2448,Jurnal Ilmu Alam dan Lingkungan,http://journal.unhas.ac.id/index.php/jai2
2449,JOINS (Journal Of information System),http://publikasi.dinus.ac.id/index.php/joins
2450,Productum Jurnal Desain Produk (Pengetahuan dan Perancangan Produk),http://journal.isi.ac.id/index.php/PRO
2451,Oceana Biomedicina Journal,http://ocean-biomedicina.hangtuah.ac.id/index.php/journal/index
2452,Jurnal Manajemen dan Bisnis (Performa),https://ejournal.unisba.ac.id/index.php/performa/index
2453,Jurnal Penelitan Ekonomi dan Bisnis,http://publikasi.dinus.ac.id/index.php/jpeb
2454,Jusikom : Jurnal Sistem Komputer Musirawas,http://jurnal.univbinainsan.ac.id/index.php/jusikom
2455,Visualita: Jurnal Online Desain Komunikasi Visual,https://ojs.unikom.ac.id/index.php/visualita/
2456,Wawasan Kesehatan : Jurnal Ilmiah Ilmu Kesehatan,http://journal.stikes-kapuasraya.ac.id/index.php/JIIK-WK
2457,JIP (Jurnal Ilmiah PGMI),http://jurnal.radenfatah.ac.id/index.php/jip
2458,Jurnal Ilmu Keperawatan dan Kebidanan,http://ejr.stikesmuhkudus.ac.id/index.php/jikk
2459,Jurnal Ilmu Dakwah,http://journal.walisongo.ac.id/index.php/dakwah
2460,Jurnal Ilmu Keperawatan : Journal of Nursing Science,http://jik.ub.ac.id/index.php/jik
2461,At-Tajdid: Jurnal Ilmu Tarbiyah,http://ejournal.stitmuhpacitan.ac.id/index.php/tajdid
2462,Forum Agribisnis : Agribusiness Forum,http://journal.ipb.ac.id/index.php/fagb/index
2463,MENDIDIK: Jurnal Kajian Pendidikan dan Pengajaran,http://ojs.ejournal.id/index.php/mendidik/index
2464,Iqtishodia : Jurnal Ekonomi Syariah,http://ejournal.alqolam.ac.id/index.php/iqtishodia
2465,Al-Fikrah: Jurnal Manajemen Pendidikan,http://ecampus.iainbatusangkar.ac.id/ojs/index.php/alfikrah
2466,EL MUHASABA: Jurnal Akuntansi,http://ejournal.uin-malang.ac.id/index.php/el-muhasaba
2467,Jurnal Mettek: Jurnal Ilmiah Nasional dalam Bidang Ilmu Teknik Mesin,https://ojs.unud.ac.id/index.php/mettek
2468,Idealog: Ide dan Dialog Desain Indonesia,http://journals.telkomuniversity.ac.id/idealog
2469,"Jurnal Ilmiah Mizani: Wacana Hukum, Ekonomi Dan Keagamaan",https://ejournal.iainbengkulu.ac.id/index.php/mizani/
2470,"Jurisprudensi : Jurnal Ilmu Syariah, Perundangan-Undangan dan Ekonomi Islam",https://journal.iainlangsa.ac.id/index.php/jurisprudensi
2471,Data Science: Journal of Computing and Applied Informatics,https://talenta.usu.ac.id/JoCAI
2472,English Community Journal,http://jurnal.um-palembang.ac.id/index.php/englishcommunity/index
2473,Melayunesia Law,https://myl.ejournal.unri.ac.id/index.php/ML
2474,JPEP (Jurnal Progres Ekonomi Pembangunan) ,http://ojs.uho.ac.id/index.php/JPEP/
2475,JOALL (Journal of Applied Linguistics and Literature),https://ejournal.unib.ac.id/index.php/joall/index
2476,"Alinea: Jurnal Bahasa, Sastra, dan Pengajaran",https://jurnal.unsur.ac.id/index.php/ajbsi/
2477,Indonesian Journal of Biotechnology and Biodiversity,https://ejurnal.esaunggul.ac.id/index.php/bio
2478,International Journal of Applied Biology,http://journal.unhas.ac.id/index.php/ijoab/index
