,journal_name,journal_url,journal_accreditation
0,"Izdihar : Journal of Arabic Language Teaching, Linguistics, and Literature",http://ejournal.umm.ac.id/index.php/izdihar,S2 Accredited
0,MIMBAR : Jurnal Sosial dan Pembangunan,https://ejournal.unisba.ac.id/index.php/mimbar/issue/archive,S2 Accredited
0,"Indonesian Treasury Review: Jurnal Perbendaharaan, Keuangan Negara, dan Kebijakan Publik",http://itrev.kemenkeu.go.id/index.php/ITRev,S2 Accredited
0,ULUL ALBAB,http://ejournal.uin-malang.ac.id/index.php/ululalbab,S2 Accredited
0,Jurnal Pendidikan Teknologi dan Kejuruan,https://journal.uny.ac.id/index.php/jptk,S2 Accredited
0,"Jurnal Pendidikan : Teori, Penelitian, dan Pengembangan",http://journal.um.ac.id/index.php/jptpp/index,S2 Accredited
0,IBDA` : Jurnal Kajian Islam dan Budaya,http://ejournal.uinsaizu.ac.id/index.php/ibda,S2 Accredited
0,Journal of Natural Science and Integration,http://ejournal.uin-suska.ac.id/index.php/JNSI/index,S2 Accredited
0,Journal of Accounting and Investment,http://journal.umy.ac.id/index.php/ai/,S2 Accredited
0,Al-Jabar: Jurnal Pendidikan Matematika,http://ejournal.radenintan.ac.id/index.php/al-jabar/issue/archive,S2 Accredited
0,Jurnal Teknik Industri,https://ejournal.umm.ac.id/index.php/industri,S2 Accredited
0,Indonesian Journal of English Language Teaching and Applied Linguistics,http://ijeltal.org/index.php/ijeltal/issue/archive,S2 Accredited
0,JOSSAE (Journal of Sport Science and Education),https://journal.unesa.ac.id/index.php/jossae/index,S2 Accredited
0,Indonesian Journal of Information System,https://ojs.uajy.ac.id/index.php/IJIS,S2 Accredited
0,Jurnal Minds: Manajemen Ide dan Inspirasi,http://journal.uin-alauddin.ac.id/index.php/minds,S2 Accredited
0,Eralingua : Jurnal Pendidikan Bahasa Asing dan Sastra,http://ojs.unm.ac.id/eralingua/issue/archive,S2 Accredited
0,"Jurnal Kependidikan: Jurnal Hasil Penelitian dan Kajian Kepustakaan di Bidang Pendidikan, Pengajaran, dan Pembelajaran",https://e-journal.undikma.ac.id/index.php/jurnalkependidikan/index,S2 Accredited
0,Jurnal ASPIKOM,http://jurnalaspikom.org/index.php/aspikom,S2 Accredited
0,Jurnal Dinamika Akuntansi dan Bisnis,http://jurnal.unsyiah.ac.id/JDAB/index,S2 Accredited
0,Dinamika Ilmu,https://journal.uinsi.ac.id/index.php/dinamika_ilmu,S2 Accredited
0,PRofesi Humas,http://jurnal.unpad.ac.id/profesi-humas/index,S2 Accredited
0,Jurnal Akuntansi dan Keuangan,https://jurnalakuntansi.petra.ac.id/index.php/aku,S2 Accredited
0,Journal of Socioeconomics and Development,http://publishing-widyagama.ac.id/ejournal-v2/index.php/jsed/index,S2 Accredited
0,Jurnal Konseling dan Pendidikan,http://jurnal.konselingindonesia.com/index.php/jkp,S2 Accredited
0,Jurnal Siasat Bisnis,https://journal.uii.ac.id/JSB,S2 Accredited
0,Jurnal Ekonomi & Kebijakan Publik,http://jurnal.dpr.go.id/index.php/ekp,S2 Accredited
0,Jurnal Ilmiah Sekolah Dasar,https://ejournal.undiksha.ac.id/index.php/JISD,S2 Accredited
0,Journal of Education Reseach and Evaluation,https://ejournal.undiksha.ac.id/index.php/JERE,S2 Accredited
0,AKRUAL: JURNAL AKUNTANSI,https://journal.unesa.ac.id/index.php/aj/issue/archive,S2 Accredited
0,JAM : Jurnal Aplikasi Manajemen,http://jurnaljam.ub.ac.id/index.php/jam,S2 Accredited
0,Al-Tahrir: Jurnal Pemikiran Islam,https://jurnal.iainponorogo.ac.id/index.php/tahrir,S2 Accredited
0,Lontar Komputer: Jurnal Ilmiah Teknologi Informasi,https://ojs.unud.ac.id/index.php/lontar,S2 Accredited
0,Computer Science and Information Technologies,http://iaesprime.com/index.php/csit,S2 Accredited
0,Integritas: Jurnal Antikorupsi,https://jurnal.kpk.go.id/index.php/integritas/issue/archive,S2 Accredited
0,Jurnal Yudisial,http://jurnal.komisiyudisial.go.id/,S2 Accredited
0,International Journal of Education and Learning,http://pubs2.ascee.org/index.php/ijele,S2 Accredited
0,Jurnal Ekonomi dan Bisnis,http://ejournal.uksw.edu/jeb,S2 Accredited
0,JINOP (Jurnal Inovasi Pembelajaran),http://ejournal.umm.ac.id/index.php/jinop,S2 Accredited
0,JURNAL DINAMIKA HUKUM,http://dinamikahukum.fh.unsoed.ac.id/,S2 Accredited
0,Jurnal Riset Pendidikan Matematika,http://journal.uny.ac.id/index.php/jrpm,S2 Accredited
0,Jurnal Promosi Kesehatan Indonesia,https://ejournal.undip.ac.id/index.php/jpki,S2 Accredited
0,INTENSIF: Jurnal Ilmiah Penelitian dan Penerapan Teknologi Sistem Informasi,https://ojs.unpkediri.ac.id/index.php/intensif,S2 Accredited
0,Jurnal Pendidikan  dan Kebudayaan,http://jurnaldikbud.kemdikbud.go.id/index.php/jpnk,S2 Accredited
0,Jurnal Studi Komunikasi,https://ejournal.unitomo.ac.id/index.php/jsk,S2 Accredited
0,JRAMathEdu (Journal of Research and Advances in Mathematics Education),http://journals.ums.ac.id/index.php/jramathedu/index,S2 Accredited
0,Edukasi Islami : Jurnal Pendidikan Islam,http://jurnal.staialhidayahbogor.ac.id/index.php/ei,S2 Accredited
0,Al-Muzara'ah,http://journal.ipb.ac.id/index.php/jalmuzaraah/index,S2 Accredited
0,JMMR (Jurnal Medicoeticolegal dan Manajemen Rumah Sakit),http://journal.umy.ac.id/index.php/mrs,S2 Accredited
0,Jurnal Pendidikan Indonesia,http://ejournal.undiksha.ac.id/index.php/JPI/index,S2 Accredited
0,Nadwa : Jurnal Pendidikan Islam,http://journal.walisongo.ac.id/index.php/Nadwa,S2 Accredited
0,Udayana Journal of Law and Culture,https://ojs.unud.ac.id/index.php/UJLC,S2 Accredited
0,Jurnal Bina Praja,http://jurnal.kemendagri.go.id/index.php/jbp,S2 Accredited
0,Jurnal Penelitian Transportasi Darat,http://ojs.balitbanghub.dephub.go.id/index.php/jurnaldarat/index,S2 Accredited
