journal_name,journal_url,journal_accreditation
"JINOP (Jurnal Inovasi Pembelajaran)","http://ejournal.umm.ac.id/index.php/jinop","S2 Accredited"
"Journal of Education Reseach and Evaluation","https://ejournal.undiksha.ac.id/index.php/JERE","S2 Accredited"
"Integritas: Jurnal Antikorupsi","https://jurnal.kpk.go.id/index.php/integritas/issue/archive","S2 Accredited"
"International Journal of Education and Learning","http://pubs2.ascee.org/index.php/ijele","S2 Accredited"
"JURNAL DINAMIKA HUKUM","http://dinamikahukum.fh.unsoed.ac.id/","S2 Accredited"
"JPBI (JURNAL PENDIDIKAN BIOLOGI INDONESIA)","http://ejournal.umm.ac.id/index.php/jpbi/index","S2 Accredited"
"Jurnal Riset Pendidikan Matematika","http://journal.uny.ac.id/index.php/jrpm","S2 Accredited"
"Jurnal Bina Praja","http://jurnal.kemendagri.go.id/index.php/jbp","S2 Accredited"
"Jurnal Penelitian Transportasi Darat","http://ojs.balitbanghub.dephub.go.id/index.php/jurnaldarat/index","S2 Accredited"
"Jurnal Siasat Bisnis","https://journal.uii.ac.id/JSB","S2 Accredited"
"ULUL ALBAB","http://ejournal.uin-malang.ac.id/index.php/ululalbab","S2 Accredited"
"Jurnal Pendidikan Teknologi dan Kejuruan","https://journal.uny.ac.id/index.php/jptk","S2 Accredited"
"Jurnal Teknik Industri","https://ejournal.umm.ac.id/index.php/industri","S2 Accredited"
"JOSSAE (Journal of Sport Science and Education)","https://journal.unesa.ac.id/index.php/jossae/index","S2 Accredited"
"Al-Tahrir: Jurnal Pemikiran Islam","https://jurnal.iainponorogo.ac.id/index.php/tahrir","S2 Accredited"
"JAM : Jurnal Aplikasi Manajemen","http://jurnaljam.ub.ac.id/index.php/jam","S2 Accredited"
"Jurnal Civics: Media Kajian Kewarganegaraan","https://journal.uny.ac.id/index.php/civics/index","S2 Accredited"
"Journal of Accounting and Investment","http://journal.umy.ac.id/index.php/ai/","S2 Accredited"
"Journal of Socioeconomics and Development","http://publishing-widyagama.ac.id/ejournal-v2/index.php/jsed/index","S2 Accredited"
"PRofesi Humas","http://jurnal.unpad.ac.id/profesi-humas/index","S2 Accredited"
"Jurnal Ilmiah Sekolah Dasar","https://ejournal.undiksha.ac.id/index.php/JISD","S2 Accredited"
"Jurnal Akuntansi dan Keuangan","https://jurnalakuntansi.petra.ac.id/index.php/aku","S2 Accredited"
"Nadwa : Jurnal Pendidikan Islam","http://journal.walisongo.ac.id/index.php/Nadwa","S2 Accredited"
"Jurnal Studi Komunikasi","https://ejournal.unitomo.ac.id/index.php/jsk","S2 Accredited"
"EKUITAS (Jurnal Ekonomi dan Keuangan)","https://ejournal.stiesia.ac.id/ekuitas","S2 Accredited"
"Jurnal Yudisial","http://jurnal.komisiyudisial.go.id/","S2 Accredited"
"Jurnal Pendidikan Indonesia","http://ejournal.undiksha.ac.id/index.php/JPI/index","S2 Accredited"
"Jurnal Kajian Informasi & Perpustakaan","http://jurnal.unpad.ac.id/index.php/jkip","S2 Accredited"
"Journal of Electronics, Electromedical Engineering, and Medical Informatics","https://jeeemi.org/index.php/jeeemi","S2 Accredited"
"INTENSIF: Jurnal Ilmiah Penelitian dan Penerapan Teknologi Sistem Informasi","https://ojs.unpkediri.ac.id/index.php/intensif","S2 Accredited"
"Religious: Jurnal Studi Agama-Agama dan Lintas Budaya","http://journal.uinsgd.ac.id/index.php/Religious","S2 Accredited"
"Al-Ta'lim Journal","http://journal.tarbiyahiainib.ac.id/index.php/attalim","S2 Accredited"
"Jurnal Kependidikan: Penelitian Inovasi Pembelajaran","https://journal.uny.ac.id/index.php/jk","S2 Accredited"
"Edukasi Islami : Jurnal Pendidikan Islam","http://jurnal.staialhidayahbogor.ac.id/index.php/ei","S2 Accredited"
"JMMR (Jurnal Medicoeticolegal dan Manajemen Rumah Sakit)","http://journal.umy.ac.id/index.php/mrs","S2 Accredited"
"JRAMathEdu (Journal of Research and Advances in Mathematics Education)","http://journals.ums.ac.id/index.php/jramathedu/index","S2 Accredited"
