journal_no,journal_id,journal_name,journal_accreditation,journal_url
4311,/journals/detail/?id=4940,Media Akuatika : Jurnal Ilmiah Jurusan Budidaya Perairan,S5,http://ojs.uho.ac.id/index.php/JMA
4312,/journals/detail/?id=6293,Elkom: Jurnal Elektronika dan Komputer,S5,https://journal.stekom.ac.id/index.php/elkom
4313,/journals/detail/?id=6650,Dialektika: Jurnal Ekonomi dan Ilmu Sosial,S5,http://ejournal.uniramalang.ac.id/index.php/dialektika/index
4314,/journals/detail/?id=6301,Molucca Medica,S5,https://ojs3.unpatti.ac.id/index.php/moluccamedica
4315,/journals/detail/?id=559,JREC (Journal of Electrical and Electronics),S5,https://ojs3.unpatti.ac.id/index.php/moluccamedica
4316,/journals/detail/?id=6611,JURNAL RAUDHAH,S5,http://jurnaltarbiyah.uinsu.ac.id/index.php/raudhah
4317,/journals/detail/?id=5121,Envirotek : Jurnal Ilmiah Teknik Lingkungan,S5,http://ejournal.upnjatim.ac.id/index.php/envirotek
4318,/journals/detail/?id=5060,"Equilibrium : Jurnal Ilmiah Ekonomi, Manajemen dan Akuntansi",S5,https://journal.stiem.ac.id/index.php/jureq
4319,/journals/detail/?id=5818,Nakhoda : Jurnal Ilmu Pemerintahan,S5,https://nakhoda.ejournal.unri.ac.id/index.php/JIPN
4320,/journals/detail/?id=6518,Sorai: Jurnal Pengkajian dan Penciptaan Musik,S5,https://jurnal.isi-ska.ac.id/index.php/SOR
4321,/journals/detail/?id=4962,Jurnal Bios Logos,S5,https://ejournal.unsrat.ac.id/index.php/bioslogos
4322,/journals/detail/?id=5345,Viabel : Jurnal Ilmiah Ilmu-Ilmu Pertanian,S5,https://ejournal.unisbablitar.ac.id/index.php/viabel/index
4323,/journals/detail/?id=4296,"Ellite : Journal of English Language, Literature, and Teaching",S5,https://journal.unnes.ac.id/sju/index.php/eeaj
4324,/journals/detail/?id=6472,Jurnal Kesehatan Delima Pelamonia,S5,https://ojs.akbidpelamonia.ac.id/index.php/journal
4325,/journals/detail/?id=6675,UNTAG Law Review,S5,https://ojs.akbidpelamonia.ac.id/index.php/journal
4326,/journals/detail/?id=6703,"MUKADIMAH: Jurnal Pendidikan, Sejarah, dan Ilmu-ilmu Sosial",S5,https://jurnal.uisu.ac.id/index.php
4327,/journals/detail/?id=423,Jurnal Derivatif,S5,http://fe.ummetro.ac.id/ejournal/index.php/JM/index
4328,/journals/detail/?id=5167,Al-'Adl,S5,http://ejournal.iainkendari.ac.id/al-adl
4329,/journals/detail/?id=5342,Stigma : Jurnal Matematika dan Ilmu Pengetahuan Alam Unipa,S5,http://jurnal.unipasby.ac.id/index.php/stigma
4330,/journals/detail/?id=5692,Naturalis : Jurnal Penelitian Pengelolaan Sumber Daya Alam dan Lingkungan,S5,https://ejournal.unib.ac.id/index.php/naturalis/index
4331,/journals/detail/?id=4733,"Jumbo (Jurnal Manajemen, Bisnis dan Organisasi)",S5,http://ojs.uho.ac.id/index.php/JUMBO/
4332,/journals/detail/?id=6603,JAS (Jurnal Agri Sains),S5,http://ojs.umb-bungo.ac.id/index.php/JAS
4333,/journals/detail/?id=4992,Repertorium: Jurnal Ilmiah Hukum Kenotariatan,S5,http://journal.fh.unsri.ac.id/index.php/repertorium
